year,name,fraction,sex,rank
2009,Trey,0.000482,m,313
2009,Ximena,0.000519,f,313
2009,Julius,0.00048,m,314
2009,Willow,0.000519,f,314
2009,Raul,0.000479,m,315
2009,Emely,0.000515,f,315
2009,Dustin,0.000475,m,316
2009,Iris,0.000512,f,316
2009,Jameson,0.000474,m,317
2009,Katelynn,0.000508,f,317
2009,Danny,0.000473,m,318
2009,Paisley,0.000505,f,318
2009,Gael,0.000473,m,319
2009,Juliet,0.000505,f,319
2009,Everett,0.00047,m,320
2009,Ivy,0.000504,f,320
2009,Randy,0.00047,m,321
2009,Emerson,0.000502,f,321
2009,Gerardo,0.000468,m,322
2009,Phoebe,0.000502,f,322
2009,Judah,0.000468,m,323
2009,Selena,0.000502,f,323
2009,Jakob,0.000466,m,324
2009,Luna,0.000501,f,324
2009,Cade,0.000465,m,325
2009,Cassandra,0.0005,f,325
2009,Cohen,0.000464,m,326
2009,Anastasia,0.000499,f,326
2009,Paxton,0.000462,m,327
2009,Lindsey,0.000498,f,327
2009,Payton,0.000458,m,328
2009,Savanna,0.000497,f,328
2009,Keith,0.000456,m,329
2009,Madeleine,0.000494,f,329
2009,Abel,0.000455,m,330
2009,Kailey,0.000494,f,330
2009,Jaime,0.000454,m,331
2009,Analia,0.000492,f,331
2009,Rowan,0.000451,m,332
2009,Kaelyn,0.000492,f,332
2009,Darius,0.00045,m,333
2009,Angie,0.000491,f,333
2009,Emmett,0.00045,m,334
2009,Janiyah,0.000491,f,334
2009,Holden,0.00045,m,335
2009,Georgia,0.000485,f,335
2009,Lorenzo,0.00045,m,336
2009,Joselyn,0.000484,f,336
2009,Jasper,0.000446,m,337
2009,Madalyn,0.000482,f,337
2009,Dallas,0.00044,m,338
2009,Emery,0.000481,f,338
2009,Felix,0.000437,m,339
2009,Monica,0.00048,f,339
2009,Phillip,0.000437,m,340
2009,Rylie,0.000479,f,340
2009,Ronald,0.000436,m,341
2009,Bethany,0.000476,f,341
2009,Finn,0.000434,m,342
2009,Kiera,0.000475,f,342
2009,Scott,0.000433,m,343
2009,Norah,0.000474,f,343
2009,Pablo,0.000429,m,344
2009,Brynn,0.000469,f,344
2009,Jayson,0.000429,m,345
2009,Isla,0.000467,f,345
2009,Cruz,0.000427,m,346
2009,Dulce,0.000466,f,346
2009,Greyson,0.000426,m,347
2009,Erica,0.000466,f,347
2009,Reid,0.000426,m,348
2009,Jaelyn,0.000465,f,348
2009,Elliott,0.000422,m,349
2009,Rose,0.000464,f,349
2009,Leland,0.000422,m,350
2009,Julissa,0.000462,f,350
2009,Brenden,0.00042,m,351
2009,Kaylie,0.000459,f,351
2009,Brayan,0.000418,m,352
2009,Adeline,0.000456,f,352
2009,Louis,0.000417,m,353
2009,Julie,0.000454,f,353
2009,Ryker,0.000416,m,354
2009,Ruth,0.000452,f,354
2009,Jayce,0.000412,m,355
2009,April,0.000451,f,355
2009,Saul,0.000409,m,356
2009,Audrina,0.000448,f,356
2009,Ismael,0.000407,m,357
2009,Cameron,0.000448,f,357
2009,Chris,0.000406,m,358
2009,Madisyn,0.000444,f,358
2009,Mitchell,0.000403,m,359
2009,Tatiana,0.000442,f,359
2009,Nehemiah,0.000402,m,360
2009,Kiley,0.000442,f,360
2009,Jalen,0.0004,m,361
2009,Cynthia,0.000441,f,361
2009,Dennis,0.000397,m,362
2009,Anya,0.000439,f,362
2009,Donald,0.000395,m,363
2009,Rebekah,0.000439,f,363
2009,Gustavo,0.000395,m,364
2009,Ciara,0.000439,f,364
2009,Zackary,0.000393,m,365
2009,Hadley,0.000438,f,365
2009,Casey,0.000391,m,366
2009,Lilah,0.000437,f,366
2009,Phoenix,0.000389,m,367
2009,Talia,0.000435,f,367
2009,Jimmy,0.000388,m,368
2009,Michaela,0.000432,f,368
2009,Colt,0.000387,m,369
2009,Londyn,0.00043,f,369
2009,Dane,0.000386,m,370
2009,Lia,0.000429,f,370
2009,Jerry,0.000386,m,371
2009,Lilliana,0.000427,f,371
2009,Ali,0.000385,m,372
2009,Nayeli,0.000427,f,372
2009,Braeden,0.000385,m,373
2009,Kaylin,0.000427,f,373
2009,Rodrigo,0.000383,m,374
2009,Erika,0.000426,f,374
2009,Arthur,0.000383,m,375
2009,Madelynn,0.000426,f,375
2009,Jonas,0.000383,m,376
2009,Adalyn,0.000425,f,376
2009,Quentin,0.00038,m,377
2009,Baylee,0.000425,f,377
2009,Tony,0.00038,m,378
2009,Raegan,0.000425,f,378
2009,Keaton,0.000378,m,379
2009,Danica,0.000425,f,379
2009,Mathew,0.000377,m,380
2009,Annie,0.000423,f,380
2009,Arturo,0.000376,m,381
2009,Holly,0.000423,f,381
2009,Esteban,0.000376,m,382
2009,Paola,0.000421,f,382
2009,Walter,0.000372,m,383
2009,Lizbeth,0.000413,f,383
2009,Desmond,0.000372,m,384
2009,Jazlyn,0.000412,f,384
2009,Rocco,0.00037,m,385
2009,Janiya,0.000411,f,385
2009,Mauricio,0.00037,m,386
2009,Jane,0.000411,f,386
2009,Jett,0.000369,m,387
2009,Carolina,0.000409,f,387
2009,Larry,0.000369,m,388
2009,Helen,0.000408,f,388
2009,Alberto,0.000368,m,389
2009,Rihanna,0.000408,f,389
2009,Moises,0.000368,m,390
2009,Danna,0.000403,f,390
2009,Curtis,0.000362,m,391
2009,Serena,0.000402,f,391
2009,Brett,0.000361,m,392
2009,Jimena,0.000398,f,392
2009,Darren,0.000361,m,393
2009,Nyla,0.000396,f,393
2009,Philip,0.000361,m,394
2009,Shayla,0.000396,f,394
2009,Colten,0.000357,m,395
2009,Tatum,0.000393,f,395
2009,Landyn,0.000355,m,396
2009,Ayla,0.000392,f,396
2009,Beau,0.000354,m,397
2009,Sage,0.000392,f,397
2009,Zayden,0.000351,m,398
2009,Marlee,0.00039,f,398
2009,Gunner,0.000351,m,399
2009,Emilia,0.00039,f,399
2009,Izaiah,0.00035,m,400
2009,Itzel,0.00039,f,400
2009,Byron,0.000348,m,401
2009,Sarai,0.000388,f,401
2009,Marshall,0.000347,m,402
2009,Kadence,0.000387,f,402
2009,Uriel,0.000346,m,403
